,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label
0,44,277d56fa-23b4-4928-a736-819920a26914,2023-12-19T04:13:55.000Z,2023-12-19T04:45:55.000Z,I-71  Exit 220 / I-271  Exit 1,I-271,Northbound,32,0,1.153,38.68,41.16195,-81.78158,41.57626932152427,-81.4471792,Yes
1,68,29b9ec10-6981-49f5-b38f-2cfb2be5d25a,2023-12-19T02:18:58.000Z,2023-12-19T04:57:00.000Z,I-76,I-76,Westbound,158,0.803,0.43,25.05,41.10572336305649,-81.17697711,41.03904047275303,-81.59614844,Yes
2,14,044237b1-9825-49b9-ac32-f28ed255b540,2023-12-19T05:49:55.000Z,2023-12-19T06:59:06.000Z,I-76  Exit 24B / Arlington St / Martin Ave,I-76,Eastbound,69,0.358,0.221,29.82,41.06254,-81.48477,41.10412000029827,-80.93935504,Yes
3,43,de4aa798-1327-47aa-a463-cc3f93d10a1b,2023-12-19T03:34:59.000Z,2023-12-19T03:43:54.000Z,"I-480  Exit 20A-B / I-77  Exits 155,156 / Rockside Rd",I-76  Exit 20 / I-77  Exit 129,Southbound,9,0.648,0.146,25.47,41.38457040657692,-81.65302361,41.06275969761687,-81.57183965,Yes
4,259,7d437318-b8a6-4d73-8d69-41657620eceb,2023-12-19T03:10:55.000Z,2023-12-19T06:59:06.000Z,I-271,I-71  Exit 220 / I-271  Exit 1,Southbound,228,0.484,0.62,34.77,41.52390410911924,-81.44478935,41.16222258969366,-81.7785807,Yes
5,44,b5fd67cb-28d3-4530-9070-3f6e200de4c1,2023-12-19T04:26:58.000Z,2023-12-19T04:27:55.000Z,I-71  Exit 220 / I-271  Exit 1,I-271,Northbound,1,0,0.881,30.76,41.16195,-81.78158,41.47935006884261,-81.48696999,No
6,14,1d6d288f-861e-4868-92fc-27b66358febd,2023-12-19T02:08:56.000Z,2023-12-19T05:32:05.000Z,I-76  Exit 26 / OH-526 Mogadore Rd / OH-18 Market St,I-76,Eastbound,203,0.598,0.267,25.19,41.064481821746085,-81.4394447,41.10013027515212,-80.98026562,Yes
7,44,eb6ef0b0-cfd1-4efe-a53b-ec1d0d70a0ac,2023-12-19T05:20:59.000Z,2023-12-19T06:47:02.000Z,I-71  Exit 220 / I-271  Exit 1,I-271,Northbound,86,0,0.244,30.12,41.16195,-81.78158,41.46982524102677,-81.48887641,Yes
8,72,25d96c51-f0e5-4008-b8ff-90ba96db6f65,2023-12-19T06:57:53.000Z,2023-12-19T07:14:52.000Z,I-77  Exit 132 / White Pond Dr / Mull Ave,I-77  Exit 147 / Miller Rd,Northbound,17,0.048,0.735,16.32,41.09610107311387,-81.58593039,41.288487368410586,-81.63635603,Yes
9,44,49e72a97-3faa-4ce5-b58d-82d38ddad036,2023-12-19T04:52:53.000Z,2023-12-19T05:27:00.000Z,I-271  Exit 12 / OH-303 Streetsboro Rd,I-271,Northbound,34,0.121,0,23.79,41.24815279888377,-81.58855026,41.542163665084935,-81.44880053,Yes
10,44,c2960c20-8810-4d4e-a699-9c08b8d9a865,2023-12-19T04:48:53.000Z,2023-12-19T04:54:59.000Z,I-271  Exit 12 / OH-303 Streetsboro Rd,I-271,Northbound,6,0.121,0.566,24.35,41.24815279888377,-81.58855026,41.55038694853522,-81.44812209,Yes
11,231,231aa1b6-b0bc-4980-983a-576822c69648,2023-12-19T05:32:54.000Z,2023-12-19T06:34:54.000Z,I-480  Exit 2 / OH-10 Lorain Rd / Lorain Rd,"I-480  Exit 20A-B / I-77  Exits 155,156 / Rockside Rd",Eastbound,62,0.198,0,17.31,41.38852197823057,-81.96970351,41.40869969111351,-81.65655737,Yes
12,73,50401d63-12fc-46db-9f78-0793df298dc1,2023-12-19T05:29:56.000Z,2023-12-19T06:04:00.000Z,I-80,I-80,Westbound,34,0.635,0.837,30.83,41.24961062062507,-81.31527268,41.35295929919987,-81.87133967,Yes
13,81,e54ac186-7f6f-4313-9c74-c381aa0ce1cf,2023-12-19T03:40:04.000Z,2023-12-19T04:37:56.000Z,I-76  Exit 21C / OH-59 Innerbelt,I-77,Northbound,58,0.62,0.501,19.03,41.06034957186465,-81.55437243,41.27765995949499,-81.63612614,Yes
14,184,f851343f-e55f-4579-a569-8e048bc73ebe,2023-12-19T04:12:53.000Z,2023-12-19T05:52:02.000Z,I-77  Exit 138 / Ghent Rd,I-77  Exit 157 / Crossover / Sr-21,Northbound,99,0,0.405,17.16,41.15311,-81.62773,41.39782936824408,-81.65235593,Yes
15,232,5af41c24-364e-4de1-9f93-75a0b2c80fdd,2023-12-19T03:03:52.000Z,2023-12-19T03:48:55.000Z,OH-8,"OH-59  Exits 2,3A / Gorge Blvd / Glenwood Ave",Southbound,45,0.206,0.119,14.19,41.29602768761357,-81.51336087,41.10290472668496,-81.50002378,Yes
16,24,66015280-4c15-4530-a9bf-8a8a30ca7ea0,2023-12-19T06:14:00.000Z,2023-12-19T07:15:58.000Z,OH-8,"I-77  Exit 125B / I-76  Exits 23A,23B / OH-8 I-77",Southbound,62,0.434,0.414,16.53,41.29229,-81.5113,41.066616006818606,-81.50429952,Yes
17,23,9fba25be-ba71-4d32-9211-7df2c7664d0c,2023-12-19T03:52:53.000Z,2023-12-19T04:27:55.000Z,OH-8,OH-8 / Goodkirk St,Southbound,35,0.434,0.441,16.04,41.29229,-81.5113,41.074699898694575,-81.50435679,Yes
18,199,b75f0af2-0f50-4f7d-9cbb-6f90843a3e6e,2023-12-19T04:03:50.000Z,2023-12-19T04:40:05.000Z,I-480  Exit 42 / I-80  Exit 187,I-480  Exit 21 / Transportation Blvd / Antenucci Blvd,Westbound,36,0.097,0,20.25,41.255130080638814,-81.37008011,41.41278857748952,-81.61021877,Yes
19,192,83e87f04-ca85-408d-90e1-e261ad2c3758,2023-12-19T03:50:58.000Z,2023-12-19T05:22:05.000Z,I-71,I-80  Exit 161 / I-71  Exit 233,Northbound,91,0.153,0.835,19.6,41.06118941703299,-81.85406727,41.32875743608713,-81.81610149,Yes
20,14,6603a7a1-6133-4399-b360-01c52f8ffbae,2023-12-19T06:57:53.000Z,2023-12-19T07:15:58.000Z,I-76,I-76,Eastbound,18,0.728,0.146,21.83,41.07042315616538,-81.41826679,41.10080981637531,-81.02189934,Yes
21,195,b7ff91d6-ed31-4b4e-b060-078d0a6d30c1,2023-12-19T04:54:59.000Z,2023-12-19T05:49:55.000Z,I-71,I-71  Exit 234 / US-42 Pearl Rd,Northbound,55,0.623,0,17.49,41.10659595281621,-81.81636519,41.35228,-81.81811,Yes
22,255,9b9c3a96-f78c-4657-99b5-9d9c3e5b3b99,2023-12-19T03:35:53.000Z,2023-12-19T04:35:00.000Z,"OH-8  Exits 1A,1B / OH-59  Exit 1B / Fountain St",OH-8  Exit 17,Northbound,59,0.21,0.914,14.52,41.08346035281919,-81.50308993,41.28134000340043,-81.50506,Yes
23,79,9bb279e0-3e49-4251-aca1-b39056ee4657,2023-12-19T07:11:57.000Z,2023-12-19T08:07:58.000Z,I-76,"I-76  Exits 22,22A / Main St / South St",Westbound,56,0.337,0.222,16.57,41.10623416200786,-81.21026495,41.06198004232196,-81.50402058,Yes
24,73,09ef30d5-2262-4ac3-b20f-415ccda28193,2023-12-19T06:09:54.000Z,2023-12-19T07:12:55.000Z,I-80,I-80,Westbound,63,0.314,1.022,23.3,41.24900257662917,-81.31116821,41.30375432674712,-81.73802524,Yes
25,79,bfe23b9f-48ab-4abe-a44c-dff16f5e10e3,2023-12-19T05:59:02.000Z,2023-12-19T06:57:02.000Z,I-76,"I-76  Exits 22,22A / Main St / South St",Westbound,58,0.654,0.222,16.25,41.10667546526613,-81.21454334,41.06198004232196,-81.50402058,Yes
26,26,4ec2cdeb-d14c-4960-bafd-3674e34f6461,2023-12-19T07:21:00.000Z,2023-12-19T07:23:59.000Z,"I-76  Exits 13A,13B / OH-21",I-77,Northbound,3,0,0.079,15.76,41.03893,-81.66305,41.25666,-81.63157,Yes
