,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label
0,73,99675ff5-ca0d-435f-a3ba-0b9420a83e29,2024-02-24T12:07:17.000Z,2024-02-24T13:54:24.000Z,I-71,I-71,Northbound,107,0.662,0.409,25.11,40.17520526660433,-82.9555397,40.47830002872654,-82.74521996,Yes
1,73,9f9ef345-64b4-4716-899e-fcdb851b00ad,2024-02-24T10:43:18.000Z,2024-02-24T12:22:18.000Z,"I-71  Exits 119,119A,119B / I-270  Exit 26",I-71,Northbound,99,0.3,0.595,29.09,40.11031,-82.9776,40.46990687242163,-82.75739991,Yes
2,17,61ab3727-d80b-465f-a992-499db1402017,2024-02-24T10:46:33.000Z,2024-02-24T12:13:15.000Z,US-33,OH-161,Eastbound,87,0.808,0.539,23.82,40.27064831644056,-83.51701667,40.10088999667361,-83.17272999,Yes
3,326,ec9b2bed-2e65-465a-8f1e-b5765fdfef60,2024-02-24T12:49:26.000Z,2024-02-24T14:06:34.000Z,I-70  Exit 79 / US-42,I-70  Exit 97 / US-40 Broad St,Eastbound,77,0.404,0.769,17.38,39.95614008507615,-83.3728194,39.96321871897478,-83.05302821,Yes
4,62,bfcdc202-d4a1-4d8c-a271-979b4528608c,2024-02-24T13:40:22.000Z,2024-02-24T14:24:22.000Z,"I-70  Exits 105A,105B / James Rd",I-70,Eastbound,44,0.133,0.506,12.89,39.93152542345424,-82.91323625,39.948318179420845,-82.6785148,Yes
5,115,bbe85a19-ba4d-48d9-823d-bce958c232d6,2024-02-24T14:29:47.000Z,2024-02-24T14:52:47.000Z,I-70  Exit 215 / US-40 National Rd,I-70,Westbound,23,0,0.457,20.25,40.07767,-80.93239,40.05947448129267,-81.30187788,Yes
6,53,ab1bc475-4eb7-490a-b006-0f6c6c4e08a1,2024-02-24T11:07:24.000Z,2024-02-24T11:48:23.000Z,US-33,US-33,Westbound,41,0.644,0.536,19.29,40.258750999998966,-83.46248358,40.38326921419627,-83.7651334,Yes
7,72,9eb74eb5-e214-400e-87fc-99175e54adf2,2024-02-24T12:36:33.000Z,2024-02-24T12:46:20.000Z,I-70  Exit 72 / OH-56,I-70,Westbound,10,0.235,0.906,22.88,39.9425079,-83.50881906,39.89367661519463,-83.91531013,Yes
8,39,b4318a8b-a242-4559-a4b4-d2cccb07aeca,2024-02-24T13:30:24.000Z,2024-02-24T13:32:24.000Z,"I-70  Exits 107,107A,107B / OH-317 Hamilton Rd",I-70  Exit 94 / Wilson Rd / Interchange Rd,Westbound,2,0.086,0.155,12.28,39.936335980621706,-82.88445021,39.97387015118122,-83.08498154,Yes
9,43,0ca36d16-ef08-4a30-8915-2db9c0212aa2,2024-02-24T11:04:18.000Z,2024-02-24T11:27:21.000Z,I-75  Exit 74 / OH-41 Main St,I-75,Northbound,23,0.958,0.114,16.04,40.069533469979376,-84.23303405,40.29342038021367,-84.18152997,Yes
10,15,ea03e15e-e279-41f1-925d-2b514558e076,2024-02-24T13:32:24.000Z,2024-02-24T13:35:27.000Z,I-70,I-71 / I-70,Westbound,3,0.965,0.534,13.13,39.94358529324851,-82.76095159,39.95440971945946,-82.98816814,Yes
11,173,61c13132-f1d5-436b-9189-f287c273cc5b,2024-02-24T09:51:34.000Z,2024-02-24T11:23:20.000Z,I-75,I-75  Exit 104 / OH-219 Botkins Rd / CR-22 Botkins Rd,Northbound,92,1.158,0.464,19.46,40.19965214,-84.20609184,40.47086163590585,-84.16915,Yes
12,132,fe3ef3a2-fb84-4472-aad1-3d49c39debec,2024-02-24T12:40:39.000Z,2024-02-24T13:19:46.000Z,I-77,US-62 Atlantic Blvd,Northbound,39,0.404,0.696,8.14,40.78433,-81.38395,40.841485372271336,-81.30787424,Yes
13,72,3ca484de-7421-481f-b6a6-a04a5fa73c51,2024-02-24T12:38:29.000Z,2024-02-24T12:48:19.000Z,I-70,I-70,Westbound,10,0.89,0.663,19.09,39.94237462906186,-83.49233118,39.893865543288975,-83.82781999,Yes
14,176,8fcbddc5-2c1c-41a1-bf20-671969ff0591,2024-02-24T12:38:43.000Z,2024-02-24T13:22:43.000Z,I-77  Exit 101 / OH-627 Faircrest St / Faircrest St,I-77  Exit 109 / Everhard Rd,Northbound,44,0.111,0.298,8.32,40.75511546617536,-81.40420233,40.85797002392445,-81.42238004,Yes
15,176,0520a083-75d5-429d-9bc1-90ef1a57cf28,2024-02-24T12:17:41.000Z,2024-02-24T12:40:39.000Z,I-77  Exit 99 / Fohl St,I-77  Exit 109 / Everhard Rd,Northbound,23,0.238,0.616,10.11,40.73494212888125,-81.41424483,40.86084735576572,-81.42591334,Yes
16,177,e1798373-adc7-47ea-8aac-f3978fe17082,2024-02-24T12:40:20.000Z,2024-02-24T14:16:35.000Z,"I-270  Exits 52,52A,52B / US-23 High St Exit 83 / US-23  Exits 83A,83B",I-270  Exit 15 / Tuttle Crossing Blvd,Northbound,96,0.351,0.995,15.94,39.876184097468766,-83.00755294,40.05238234,-83.12900008,Yes
17,47,fdc871c1-8796-47ee-8bfc-884a7088ef22,2024-02-24T14:04:26.000Z,2024-02-24T14:22:24.000Z,I-70,I-70 / Cole St,Westbound,18,0.819,0,12.03,39.945263433690336,-82.75834134,39.95371,-82.96508145,Yes
18,50,26f4b708-338d-4036-94e8-d4a73df9e795,2024-02-24T10:04:29.000Z,2024-02-24T10:51:33.000Z,US-23 / OH-98 Columbus Sandusky Rd,US-23 / OH-231 Brush Ridge Wyandot Rd,Northbound,47,0.384,0.252,17.04,40.46472004298773,-83.07555,40.69162719561376,-83.15012377,Yes
19,73,1fe3fd42-f3fb-4162-8a38-4b4677c7f1f1,2024-02-24T11:56:26.000Z,2024-02-24T11:58:24.000Z,"I-71  Exits 119,119A,119B / I-270  Exit 26",I-71,Northbound,2,0.215,0.773,19.02,40.10919013283589,-82.97832987,40.35364496904227,-82.85778158,No
20,65,32f4699a-8cce-4585-84ac-673c9c1a3669,2024-02-24T09:55:24.000Z,2024-02-24T10:50:27.000Z,I-71,I-71,Southbound,55,0.129,0.48,17.38,40.54665874176211,-82.65601112,40.35779014331336,-82.85247516,Yes
21,42,bb943069-88da-4f69-bd25-823184a551b1,2024-02-24T14:42:45.000Z,2024-02-24T15:40:46.000Z,I-70  Exit 219 / I-470  Exit 1 / Banfield Rd,I-70  Exit 204 / US-40 Mcmillan Rd / US-40 National Rd,Westbound,58,0.492,1.247,14.29,40.07130014405674,-80.8604105,40.05757281500191,-81.11755061,Yes
22,72,88d7a0ef-91fd-4436-8c6e-f1065272263e,2024-02-24T13:20:24.000Z,2024-02-24T13:26:34.000Z,I-70 / Cole St,I-70,Southbound,6,0.329,0.107,8.67,39.95398291287746,-82.97119277,39.976617380084726,-83.12007675,Yes
23,96,ef95a82a-eedd-4b25-bf72-d4566871662b,2024-02-24T10:33:21.000Z,2024-02-24T11:19:16.000Z,US-33 / US-42,US-33 / Honda Pkwy,Westbound,46,0.332,0,16.79,40.16772276831117,-83.23842897,40.26738179551126,-83.49290736,Yes
24,191,8daec3a4-cb47-422d-8115-8b61e4e58cfc,2024-02-24T13:50:25.000Z,2024-02-24T14:27:27.000Z,I-70  Exit 105A / US-33 College Ave,US-33 Columbus-Lancaster Rd,Eastbound,37,0.048,0,7.72,39.92926965752211,-82.92594972,39.85687,-82.82396,Yes
25,160,43737d5d-91a9-4e9b-bfd9-de3b42bdc5fe,2024-02-24T13:29:24.000Z,2024-02-24T13:30:24.000Z,I-71  Exit 97 / OH-665 London-Groveport Rd / OH-665 London Groveport Rd,"I-71  Exits 109A,109B,110A / I-670  Exits 4A,4A-B,4B,4C,5,5A-5B / Goodale St",Northbound,1,0.414,0.045,11.13,39.841896261505376,-83.08904728,39.96182903,-82.9825185,Yes
26,222,39f4f8a7-ff15-4846-8a2a-d8f3463c290d,2024-02-24T13:12:43.000Z,2024-02-24T13:13:43.000Z,I-77,US-62,Northbound,1,0.404,0.848,6.03,40.78433,-81.38395,40.83180448591075,-81.3459485,No
27,92,4bf0e26d-326e-4f6d-8cb2-ed81e77af8e8,2024-02-24T14:31:46.000Z,2024-02-24T15:27:44.000Z,I-70,I-70  Exit 215 / US-40 National Rd,Eastbound,56,0.782,0.521,15.14,40.059330000748965,-81.20926557,40.07764,-80.93331,Yes
28,53,02b29da2-7edb-4777-aeb5-b63228a2bd38,2024-02-24T11:02:17.000Z,2024-02-24T11:13:18.000Z,OH-4,US-33,Westbound,11,0.731,0.649,17.83,40.24782884669192,-83.39174259,40.32936571300049,-83.6787022,Yes
29,67,11de71a7-c95b-4a4c-a724-6f955fc3e5ad,2024-02-24T12:45:39.000Z,2024-02-24T13:27:43.000Z,OH-43 Steubenville Rd,OH-646 Jewett Germano Rd,Southbound,42,0.709,0.1,11.86,40.546649305864605,-81.03852851,40.41227911950597,-80.95385917,Yes
30,318,50616d4d-e101-4be9-be45-f0eafd7854bf,2024-02-24T13:27:16.000Z,2024-02-24T13:50:25.000Z,I-71  Exit 105 / Greenlawn Ave,I-71  Exit 97 / OH-665 London-Groveport Rd / OH-665 London Groveport Rd,Southbound,23,0,0,7.69,39.93563,-83.00987,39.84432,-83.08758,Yes
31,202,ad83b71f-1dbd-44b1-8837-e945f9e6d08d,2024-02-24T13:21:24.000Z,2024-02-24T13:42:21.000Z,I-270,I-270  Exit 49 / Alum Creek Dr,Northbound,21,1.31,0.804,10.88,39.92873403,-83.12360408,39.87141939701524,-82.9436336,Yes
32,72,2720fb00-f193-40bd-a502-eaca3a9d6eec,2024-02-24T12:53:25.000Z,2024-02-24T13:26:34.000Z,I-70  Exit 97 / US-40 Broad St,I-70,Westbound,33,0.856,0.81,11.8,39.96749002420776,-83.06063005,39.97213731338481,-83.27939805,Yes
33,296,db025e39-286d-41ee-b90f-c1117716deaa,2024-02-24T12:54:17.000Z,2024-02-24T13:13:26.000Z,"I-270  Exits 22,23 / OH-315  Exits 12A,12B / US-23 High St",OH-315  Exit 5 / Ackerman Rd,Southbound,19,0.364,0.069,5.98,40.10662,-83.03623,40.02528092678006,-83.03651241,Yes
34,57,252b7527-e90e-4d63-b3d3-722de98f082e,2024-02-24T12:01:30.000Z,2024-02-24T13:08:32.000Z,US-23 / CR-194 Coover Rd,US-23,Northbound,67,0.457,0.509,16.18,40.350976623835926,-83.07398,40.58449,-83.07777,Yes
35,256,a5f6579d-a522-4a62-881f-7379c775ebe9,2024-02-24T15:01:51.000Z,2024-02-24T15:17:47.000Z,I-70  Exit 198 / CR-114 Oxford Rd,I-70  Exit 213 / US-40 National Rd,Eastbound,16,0.559,0.967,13.59,40.05574,-81.22318,40.068789450846346,-80.97427196,No
36,60,033f85aa-7222-4eaf-8101-658f60d3f9a8,2024-02-24T12:28:31.000Z,2024-02-24T12:47:40.000Z,I-77,I-77,Southbound,19,0.322,0.521,15.35,40.70547502721377,-81.42739239,40.51864089,-81.48928624,Yes
37,65,1cfb89e7-2d4a-4fa3-acce-7f54077e1659,2024-02-24T10:50:27.000Z,2024-02-24T10:52:21.000Z,I-71,I-71,Southbound,2,0.468,0.989,16.63,40.44962164871163,-82.78964004,40.24838306186051,-82.92900943,Yes
38,44,10792434-6b6e-4706-8407-89bcbcd468d6,2024-02-24T12:38:29.000Z,2024-02-24T13:01:30.000Z,I-270,I-270  Exit 20 / CR-70 Sawmill Rd / Sawmill Rd,Northbound,23,1.083,0.851,10.93,40.05247141288031,-82.90216539,40.111359997123365,-83.05711004,Yes
39,119,f5f048c4-27cd-4700-8abb-1bc79e1cff21,2024-02-24T12:59:17.000Z,2024-02-24T13:23:16.000Z,I-71,I-71  Exit 115 / Cooke Rd,Southbound,24,0.49,0.328,8.85,40.17521260270316,-82.9559531,40.05484541366191,-82.9981224,Yes
40,208,3caf5fcb-ffc4-4bd1-9f01-f368b8689b97,2024-02-24T11:55:27.000Z,2024-02-24T12:37:16.000Z,I-70,I-70  Exit 59 / OH-41 Charleston Pike,Westbound,42,0.611,0.913,13.23,39.94234686765947,-83.48926513,39.90176108833727,-83.71806012,Yes
41,78,abbfd020-cbc2-42be-b48a-81d0c1a05d4b,2024-02-24T11:52:22.000Z,2024-02-24T11:59:22.000Z,US-33,US-33,Eastbound,7,0.808,0.418,10.52,40.27064831644056,-83.51701667,40.23837312205578,-83.34510675,No
42,73,9cf854c7-3c25-4184-98b1-7abd470132e4,2024-02-24T12:35:13.000Z,2024-02-24T13:13:26.000Z,I-71  Exit 113 / Beulah Rd / Weber Rd,I-71,Northbound,38,0.243,0.413,9.75,40.02366556752344,-82.99483044,40.15999249,-82.96776876,No
43,161,d2748851-9104-4e3f-a604-6cb855f0b2f3,2024-02-24T13:15:28.000Z,2024-02-24T13:31:32.000Z,I-70 / I-670,"I-71  Exits 109A,109B,110A / I-670  Exits 4A,4A-B,4B,4C,5,5A-5B / Goodale St",Eastbound,16,0,0,5.38,39.96843,-83.06556,39.97829,-82.97641,Yes
44,60,b70c15f7-cba3-4f66-ab15-af737f250ac4,2024-02-24T11:58:39.000Z,2024-02-24T12:28:31.000Z,I-77  Exit 101 / OH-627 Faircrest St / Faircrest St,I-77,Southbound,30,0.211,0.61,13.15,40.75104902962853,-81.40573027,40.59124991841831,-81.51607187,Yes
45,57,4e1788b4-11b6-447b-90a9-ff08b8ff0ba6,2024-02-24T11:48:23.000Z,2024-02-24T12:47:27.000Z,US-23 / Cottswold Dr,US-23,Northbound,59,0.246,0.228,13.94,40.27564009635869,-83.07035998,40.47279904951808,-83.07441783,Yes
46,52,0dee52c4-5a56-422a-a464-6a3da5099db7,2024-02-24T13:15:28.000Z,2024-02-24T13:36:20.000Z,I-71  Exit 113 / Beulah Rd / Weber Rd,I-71  Exit 121 / Polaris Pkwy / OH-750,Northbound,21,0.243,0.515,8.91,40.02366556752344,-82.99483044,40.14820022143632,-82.97036998,No
47,62,cff8f60f-a4be-4d19-81ad-7562994621bb,2024-02-24T14:28:21.000Z,2024-02-24T14:34:14.000Z,"I-70  Exits 108,108A-B / I-270  Exits 41-43,43A-B-41 / US-40 Main St",I-70,Eastbound,6,0.116,0.773,6.45,39.93344021850959,-82.84480333,39.95108785490344,-82.73167503,Yes
48,57,0d724796-3ecf-4b39-a9b2-23d8415c46fd,2024-02-24T09:27:18.000Z,2024-02-24T10:11:27.000Z,US-23 / Willey Rd,US-23,Northbound,44,1.071,0.102,14.15,40.37311787283542,-83.07372439,40.57902038431966,-83.07487015,Yes
49,57,842fe086-8294-4c7d-88bc-73a2413986a0,2024-02-24T10:29:26.000Z,2024-02-24T11:02:17.000Z,US-23,US-23,Northbound,33,1.039,0.289,14.33,40.34456,-83.07403,40.55150006071792,-83.0742,Yes
50,57,4cb2aa0e-4b64-401d-a92f-2fb4f14bd687,2024-02-24T12:18:24.000Z,2024-02-24T12:34:26.000Z,US-23,US-23,Northbound,16,0.862,0.809,11.83,40.19728002232582,-83.02801001,40.35597765206416,-83.07392,Yes
51,62,60f6cf27-d613-499a-a085-6785a6e61e7e,2024-02-24T12:44:15.000Z,2024-02-24T14:14:26.000Z,I-70,I-70,Eastbound,90,0.768,0.392,11.3,39.89033969496511,-83.79018627,39.93221809217481,-83.60077579,Yes
52,57,dc19dd86-13d8-4c42-bd27-ae94ce73aa5d,2024-02-24T11:00:21.000Z,2024-02-24T11:21:27.000Z,US-23 / OH-98 Columbus Sandusky Rd,US-23,Northbound,21,1.404,0.408,11.8,40.45917,-83.07556,40.625644435589415,-83.09611773,Yes
53,73,82f8155b-1233-4216-a107-c57867e60af4,2024-02-24T09:48:15.000Z,2024-02-24T11:47:33.000Z,I-71,I-71,Northbound,119,0.311,1.337,14.17,40.394936843606246,-82.82293769,40.54579003255257,-82.65639397,Yes
54,10,1c072154-c632-43f9-982b-f166ee0f7539,2024-02-24T12:35:41.000Z,2024-02-24T13:18:44.000Z,US-30 / CR-94A Carr Rd,OH-3,Westbound,43,0.855,0.054,7.54,40.79547,-81.78085,40.79884972124233,-81.91259081,Yes
