,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
0,3,4ac133e6-72d6-440b-85fa-000b74709507,2022-01-17T13:44:00.000Z,2022-01-17T14:25:55.000Z,I-90  Exit 151 / OH-611 Colorado Ave,I-90,Eastbound,42,0.37,0.944,88.1,41.46426432,-82.05210863,41.91094027,-80.59067895,Yes,
1,3,43230d79-07f8-4a58-9cef-c1a8f8f1e85c,2022-01-17T11:38:00.000Z,2022-01-17T12:26:10.000Z,OH-2 / I-90,I-90,Eastbound,48,1.31,0.999,90.15,41.40311,-82.14021,41.87509937,-80.67393329,Yes,
2,3,03594b1c-1bd2-44b5-81c8-cef86d1a25fd,2022-01-17T12:41:03.000Z,2022-01-17T13:01:57.000Z,I-90  Exit 145 / OH-57 Lorain Blvd,I-90,Eastbound,21,0.244,0.526,91.38,41.40437004,-82.11899276,41.89462303,-80.63460938,Yes,
3,3,ef154380-d884-4096-abc9-3cffeeb1d033,2022-01-17T13:03:05.000Z,2022-01-17T13:26:03.000Z,I-90,I-90,Eastbound,23,0.581,0.713,83.41,41.41814079,-82.08707695,41.84143357,-80.72377532,Yes,
4,2712,940daea5-175c-48c9-babc-827d11a452ec,2022-01-17T12:39:01.000Z,2022-01-17T12:50:07.000Z,OH-2 / I-90,I-90  Exit 235 / OH-193 / OH-84,Eastbound,11,1.31,1.205,90.35,41.40311,-82.14021,41.87742797,-80.67085869,No,544
5,2712,150d6516-e21b-4400-aae9-f14e05f22a41,2022-01-17T12:25:06.000Z,2022-01-17T12:40:13.000Z,OH-2 / I-90,I-90  Exit 235 / OH-193 / OH-84,Eastbound,15,1.31,1.205,90.35,41.40311,-82.14021,41.87742797,-80.67085869,Yes,
6,3,3690ca2f-7ab6-499f-8bbd-213c430c90d4,2022-01-17T14:24:06.000Z,2022-01-17T14:32:06.000Z,I-90  Exit 153 / OH-83 Center Rd,I-90,Eastbound,8,0.465,0.419,90.25,41.46432101,-82.01860811,41.93551765,-80.52247753,Yes,
7,851,0d48fe9a-08aa-4c43-997c-fa365a99bb96,2022-01-17T12:20:05.000Z,2022-01-17T12:39:07.000Z,I-90  Exit 218 / OH-534 / OH-534 Broadway,I-80 / I-90,Westbound,19,0.144,0.314,74.82,41.76958002,-80.9462606,41.39369988,-82.15988004,Yes,
8,851,43b5b5ae-1570-4399-ab19-7a749e853e66,2022-01-17T11:52:08.000Z,2022-01-17T12:17:00.000Z,I-90  Exit 218 / OH-534 / OH-534 Broadway,I-80 / I-90,Westbound,25,0.144,0.413,74.92,41.76958002,-80.9462606,41.39260226,-82.16022665,Yes,
9,153,15d4e613-2a6f-4bb8-b452-9e181eb04cee,2022-01-17T12:43:02.000Z,2022-01-17T12:45:14.000Z,I-90  Exit 218 / OH-534 / OH-534 Broadway,I-90,Westbound,2,1.486,0.539,73.27,41.76966,-80.94347,41.4038084,-82.13372979,Yes,
