,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label
0,1603,99e2500c-ed85-4486-82be-8a9775fa4a16,2023-01-22T15:20:23.000Z,2023-01-22T15:43:57.000Z,I-71,US-50 / I-71,Southbound,24,0.987,0,60.69,39.59162828,-83.66066343,39.099336664008405,-84.50636186,Yes
1,2159,fb1fb2bc-602d-4fc1-977a-b590f8584d5b,2023-01-22T14:30:45.000Z,2023-01-22T14:37:15.000Z,I-75,I-75  Exit 68 / OH-571 Main St,Northbound,7,1.124,1.092,47.91,39.31159,-84.43367,39.93593180120908,-84.18877003,Yes
2,172,5d110117-6456-4f05-8f4e-1514239d9226,2023-01-22T15:08:53.000Z,2023-01-22T15:30:30.000Z,US-50 / I-71 / 2nd St,I-71,Northbound,22,0.271,0.783,54.55,39.10434006,-84.50442001,39.54666258823794,-83.74973165,Yes
3,235,325bb3ba-ceb4-41c5-8d8b-d9d42a410333,2023-01-22T15:06:11.000Z,2023-01-22T15:37:31.000Z,I-275  Exit 8 / Graves Rd,I-275  Exit 46 / US-42 Lebanon Rd,Northbound,31,0.604,0.256,44.63,39.08057833405363,-84.72145485,39.29028053978889,-84.37991164,Yes
4,1482,7588fd95-2494-418d-ac61-ff198bfd1c14,2023-01-22T15:07:09.000Z,2023-01-22T15:24:13.000Z,I-71,"I-75  Exits 1C,1D,1F / I-71  Exit 1B / US-50 6th St Expy",Southbound,17,0.15,0.08,47.04,39.50372701750781,-83.88974798,39.09901968,-84.50813191,Yes
5,124,bec5eda5-e3c1-428d-871a-17dd1f98ab2d,2023-01-22T13:40:27.000Z,2023-01-22T15:12:37.000Z,I-275,I-275,Northbound,92,0.956,0.137,35.01,39.08381159730815,-84.29022883,39.13088139453743,-84.83344,Yes
6,354,5899de07-ce6c-480d-a7e1-c1550f7ea34d,2023-01-22T14:33:13.000Z,2023-01-22T14:46:51.000Z,"I-75  Exit 24 / OH-129 Butler County Veterans Hwy Exits 25A,25B / Liberty Way",I-75  Exit 69 / Cr-25A / County Rd 25A To I 75,Northbound,14,0.119,1.101,45.01,39.37510050502684,-84.36500995,39.97968828756828,-84.19476492,Yes
7,124,7a67bd78-4e04-42c3-a86c-ebaebb463d50,2023-01-22T14:52:33.000Z,2023-01-22T15:07:09.000Z,I-275  Exit 8 / Graves Rd,I-275,Northbound,15,0.604,0.792,33.69,39.08057833405363,-84.72145485,39.17611001616085,-84.26728,Yes
8,124,fdb4cae1-c646-49ec-bcf3-04aab079fd89,2023-01-22T15:15:28.000Z,2023-01-22T15:17:16.000Z,I-74,I-275,Northbound,2,0,0.687,41.05,39.2147,-84.7278,39.06147601378648,-84.31373709,Yes
9,39,6e2998f9-0e4f-4b32-bdaf-455ee056f33f,2023-01-22T15:18:45.000Z,2023-01-22T15:57:07.000Z,I-75  Exit 29 / OH-63 Hamilton Lebanon Rd,"I-75  Exits 2,2B / Winchell Ave / Western Hills Viad",Southbound,38,0.137,0.087,25.04,39.44243189062189,-84.33466294,39.14571917633509,-84.53773918,Yes
10,172,e53f8387-95b1-4687-90ba-341c0cff6155,2023-01-22T14:30:45.000Z,2023-01-22T15:20:23.000Z,"I-471  Exit 6B / I-71  Exits 1A,2 / Columbia Pkwy",I-71,Northbound,50,0.089,0.631,40.27,39.106620457045096,-84.50372968,39.46030864019838,-83.98907272,Yes
11,172,3ae06433-f4cc-4a35-898f-18fcaee6a8a7,2023-01-22T15:33:58.000Z,2023-01-22T15:57:08.000Z,I-71 / Edwards Rd,I-71,Northbound,23,0.315,0.45,44.98,39.15925018002262,-84.43774988,39.52808798763971,-83.81488661,Yes
12,15,240d6517-7a08-463b-b542-19db4731d2e1,2023-01-22T15:01:06.000Z,2023-01-22T15:18:46.000Z,I-75  Exit 29 / OH-63 Hamilton Lebanon Rd,I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,18,0.273,0,30.43,39.44064519,-84.33575784,39.07179653627215,-84.51937904,Yes
13,172,675e7a51-171c-4ae4-aa85-f87cc129a942,2023-01-22T15:50:21.000Z,2023-01-22T16:24:18.000Z,I-71  Exit 32 / OH-123,I-71,Northbound,34,1.003,0.612,41.93,39.41440000423792,-84.12854995,39.70204028092518,-83.44295926,Yes
14,706,cce97fc6-6279-4bae-a25c-675e41c849f1,2023-01-22T14:30:45.000Z,2023-01-22T15:14:09.000Z,I-71,I-71 / 3rd St,Southbound,43,0.971,0.063,31,39.41377147218859,-84.1423304,39.109792580508646,-84.50183055,Yes
15,172,c31001a2-cf80-46a0-bae2-9286425ab690,2023-01-22T14:52:33.000Z,2023-01-22T15:06:12.000Z,US-50 / I-71 / 2nd St,I-71,Northbound,14,0.271,0.036,34.97,39.10434006,-84.50442001,39.42856941915796,-84.08100094,No
16,172,fc782186-335d-4f1b-963a-8dc30c5d530f,2023-01-22T15:38:57.000Z,2023-01-22T16:00:20.000Z,"I-471  Exit 6B / I-71  Exits 1A,2 / Columbia Pkwy",I-71,Northbound,21,0,0.036,34.89,39.10541,-84.5043,39.42856941915796,-84.08100094,Yes
17,124,23616da4-adac-4792-b3e0-2c3b8c7e13d2,2023-01-22T15:14:08.000Z,2023-01-22T15:17:16.000Z,I-275,I-275,Northbound,3,0.995,0.792,33.27,39.05893094297236,-84.31958658,39.13894137787057,-84.82851281,Yes
18,124,b6849d4d-f1e7-4cf0-94dc-09f7776e66ce,2023-01-22T14:40:28.000Z,2023-01-22T15:17:16.000Z,I-74,I-275,Northbound,37,0,0.736,34.6,39.2147,-84.7278,39.14262328894289,-84.26546413,Yes
19,76,8a530ba1-30f7-4632-a064-9cd4b8c4b17d,2023-01-22T15:39:47.000Z,2023-01-22T16:40:57.000Z,I-70  Exit 54 / OH-72 Limestone St,I-70,Eastbound,61,0,0.928,35.28,39.89172,-83.81148,39.97837,-83.17745987,Yes
20,155,c8a41dc6-2549-432f-a050-f08d271a2d1f,2023-01-22T14:54:03.000Z,2023-01-22T14:58:01.000Z,"I-75  Exits 1C,1D,1F / I-71  Exit 1B / US-50 6th St Expy",I-75  Exit 32 / OH-122 / Commerce,Northbound,4,0.728,0.166,29.46,39.12161559553768,-84.53539754,39.47783567142163,-84.32521423,Yes
21,124,de7ac0d2-ce2e-4d0a-9b28-452e8d386b14,2023-01-22T14:58:01.000Z,2023-01-22T15:07:09.000Z,"I-71  Exits 17,17A,17B / I-275  Exits 49,49A,49B",I-275,Northbound,9,0,0.324,31.3,39.26621,-84.34497,39.027319900434286,-84.54496024,Yes
22,155,3c25f565-3242-4455-ad60-38b0ee163c7a,2023-01-22T15:04:15.000Z,2023-01-22T15:15:28.000Z,"I-75  Exits 1C,1D,1F / I-71  Exit 1B / US-50 6th St Expy",I-75  Exit 32 / OH-122 / Commerce,Northbound,11,0.566,0.487,28.97,39.10379948943633,-84.52656074,39.45132031541209,-84.32909225,Yes
23,707,b382f06a-7242-41d8-836f-61389164b706,2023-01-22T15:38:57.000Z,2023-01-22T15:57:08.000Z,I-75  Exit 9 / OH-4 Paddock Rd / Summit Rd,I-75  Exit 36 / OH-123 / OH-123 Franklin Lebanon Rd,Northbound,18,0.304,0.133,23.93,39.19493444166119,-84.47481395,39.50168032565105,-84.32326997,Yes
