,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
0,329,be6d1eab-4206-4ccd-a60d-d8e8b59a4468,2022-03-12T04:37:30.000Z,2022-03-12T05:21:11.000Z,US-35 / OH-124,OH-7 / US-35,Eastbound,44,0.13,0.341,30.78,39.04091431,-82.60737526,38.8387671,-82.15351219,Yes,
1,133,d09e983a-5e0d-470f-ad61-86e1e76e87d2,2022-03-12T04:58:43.000Z,2022-03-12T05:31:46.000Z,I-70,I-70  Exit 142 / CR-30 Mt Perry Rd,Westbound,33,0.151,1.068,22.92,39.9723958,-81.79849662,39.94845999,-82.21814002,Yes,
2,111,cf7a907f-17ca-4de6-94da-7d9593b3aa09,2022-03-12T04:44:49.000Z,2022-03-12T05:02:53.000Z,I-80,"I-80  Exits 228,228A,228B / OH-11  Exit 46B / OH-711",Westbound,18,0,0.094,20.67,41.18513032,-80.28348468,41.155261,-80.66546467,Yes,
3,24,9c203b8c-bfbd-4587-9fdd-4de7edbcbac2,2022-03-12T04:32:58.000Z,2022-03-12T04:45:46.000Z,I-80,I-80,Westbound,13,0,0.103,18.38,41.18654675,-80.34463622,41.14832,-80.68286045,Yes,
4,266,18367d5b-df1a-4874-ae3e-8c1ee327fbd0,2022-03-12T04:51:46.000Z,2022-03-12T06:13:43.000Z,I-77  Exit 170 / WV-14 Pike St / WV-14 Elizabeth Pike,I-77  Exit 1 / OH-7 Pike St / OH-7,Northbound,82,0.103,0,15.83,39.1927216,-81.52804464,39.39203757,-81.4392828,Yes,
5,66,c0f3d362-7e36-4ac2-8bc2-d32801970811,2022-03-12T05:02:53.000Z,2022-03-12T05:05:54.000Z,I-80,I-80,Eastbound,3,0.137,0.159,22.86,41.16026601,-80.61755696,41.1948044,-80.19443229,Yes,
6,56,749fd2ca-8105-4af9-a9d7-adf610acfdd5,2022-03-12T05:00:21.000Z,2022-03-12T05:56:20.000Z,US-23 / US-35,US-35,Westbound,56,0.21,0.682,18.42,39.32874,-82.94575,39.45536743,-83.2287696,Yes,
7,3,029be5c4-355b-4336-9b13-62b10483fee5,2022-03-12T04:42:47.000Z,2022-03-12T06:35:22.000Z,US-52,US-52,Southbound,113,0.465,0.66,14.89,38.62369132,-82.83668831,38.49026106,-82.64382633,Yes,
8,24,eb9af1c8-9069-43fe-8aa2-83c32ed9a63a,2022-03-12T05:15:24.000Z,2022-03-12T05:29:48.000Z,I-80,I-80,Westbound,14,0.329,0.148,19.92,41.18132995,-80.30955018,41.14924685,-80.67505574,Yes,
9,116,e83d10c7-48bd-4c46-88a1-c0c86637801f,2022-03-12T05:00:44.000Z,2022-03-12T05:41:34.000Z,I-70  Exit 142 / CR-30 Mt Perry Rd,I-70  Exit 160 / CR-52 Sonora Rd,Eastbound,41,0,0.747,17.31,39.94643,-82.22233,39.96494025,-81.90831687,Yes,
10,66,47308776-b43f-4651-a1b3-1bdfd8f34564,2022-03-12T04:48:40.000Z,2022-03-12T04:50:53.000Z,I-80,I-80,Eastbound,2,0.137,0.164,20.78,41.16026601,-80.61755696,41.1939501,-80.23349922,Yes,
