,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label
0,120,e2a5cb9c-0e83-426a-b825-7286a8e8dd9b,2023-03-15T20:05:25.000Z,2023-03-15T21:52:58.000Z,I-71 / US-22 Montgomery Rd / Brewster Ave,I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,108,0.025,0.88,7.06,39.14227988974471,-84.48277011,39.06119198887707,-84.52695115,Yes
1,6,95411179-dfff-432d-a050-753b3ba837e9,2023-03-15T21:11:30.000Z,2023-03-15T21:33:06.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,22,0.041,0.88,5.65,39.13554368472347,-84.53333347,39.06119198887707,-84.52695115,No
2,6,0bfafe09-3de9-4744-be83-2638d122d826,2023-03-15T20:45:58.000Z,2023-03-15T20:47:17.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,1,0.237,0.88,5.87,39.13890003275932,-84.53447847,39.06119198887707,-84.52695115,No
3,6,1a7ee26f-1199-44a7-883d-2674c7dab8ec,2023-03-15T21:39:04.000Z,2023-03-15T22:06:00.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,27,0.195,0.186,4.8,39.13322,-84.53272,39.069284084716415,-84.52012931,Yes
4,6,9ac93544-8076-4eab-8740-5c88caf56ba6,2023-03-15T21:03:09.000Z,2023-03-15T21:04:24.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,1,0.195,0.735,5.35,39.13322,-84.53272,39.06201103404371,-84.52527295,No
5,6,df811375-47e4-46ee-923d-81a2be0d7611,2023-03-15T20:26:06.000Z,2023-03-15T20:29:19.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,3,0.041,0.735,5.5,39.13554368472347,-84.53333347,39.06201103404371,-84.52527295,No
6,6,7be2f36f-1ee5-4c1f-89e1-fb2e24f58548,2023-03-15T21:08:01.000Z,2023-03-15T21:09:15.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,1,0.195,0.735,5.35,39.13322,-84.53272,39.06201103404371,-84.52527295,No
7,43,1bde95a7-9f4c-4fb1-90b3-36c3e3069f48,2023-03-15T20:34:00.000Z,2023-03-15T20:37:44.000Z,I-71  Exit 5 / Dana Ave / Duck Creek Rd,I-71  Exit 15 / Pfeiffer Rd,Northbound,4,0,0.375,8.2,39.14687,-84.45319,39.22989009456879,-84.36675122,Yes
8,6,abbcff0d-408b-4c37-9746-4bc916b974a3,2023-03-15T22:06:00.000Z,2023-03-15T22:12:48.000Z,"I-75  Exits 2,2B / Winchell Ave / Western Hills Viad",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,7,0.47,0.186,4.33,39.12671,-84.53492,39.069284084716415,-84.52012931,Yes
9,99,fdf69066-96f6-4d48-9a60-f2d062fb0edf,2023-03-15T20:07:33.000Z,2023-03-15T20:30:09.000Z,I-71  Exit 6 / Edmondson Rd / Smith Rd,"OH-126 Ronald Reagan Cross County Hwy Exits 32B,32C / I-71  Exit 14",Northbound,23,0.334,0.634,6.39,39.15196307578472,-84.44353095,39.21364188,-84.36992748,Yes
10,25,f2053239-d585-4547-b2ab-1a12d673e658,2023-03-15T21:34:11.000Z,2023-03-15T21:56:00.000Z,I-275  Exit 46 / US-42 Lebanon Rd,I-275,Northbound,22,0.76,0.281,6.55,39.28481158415834,-84.41816079,39.29640573518216,-84.53626316,Yes
