,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label
0,153,c19fd637-7ec8-4f66-9fc4-f536a7cc081f,2023-11-17T21:52:03.000Z,2023-11-17T21:59:15.000Z,I-480  Exit 26A / I-271  Exit 26 / Rockside Rd,"I-480  Exit 20A-B / I-77  Exits 155,156 / Rockside Rd",Westbound,7,0.377,0.124,6.46,41.40467,-81.50575,41.41234865996523,-81.61275023,Yes
1,147,a5fa8970-e5fd-4b7f-89bb-fcf400244e7d,2023-11-17T19:03:47.000Z,2023-11-17T22:47:53.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-71  Exit 188 / US-127 Dixie Hwy,Southbound,224,0.414,0.141,6.14,39.13597,-84.53351,39.059873792866725,-84.53576083,Yes
2,153,0652dc3e-6a3b-4463-a5d9-d3d9a2c2ad78,2023-11-17T21:59:15.000Z,2023-11-17T22:06:15.000Z,I-480  Exit 26A / I-271  Exit 26 / Rockside Rd,"I-480  Exit 20A-B / I-77  Exits 155,156 / Rockside Rd",Westbound,7,0.377,0.124,6.46,41.40467,-81.50575,41.41234865996523,-81.61275023,Yes
3,117,64ff5bff-5fc7-44f8-83bd-c417b1b1c470,2023-11-17T21:18:42.000Z,2023-11-17T23:08:48.000Z,I-71  Exit 182 / KY-1017 Turfway Rd / KY-1017,"I-75  Exits 1C,1D,1F / I-71  Exit 1B / US-50 6th St Expy",Northbound,110,0,0.415,8.67,39.0103,-84.63495,39.08171999,-84.52228,Yes
4,116,551070cf-62fd-41cf-a209-40e7d5bcbbe8,2023-11-17T20:28:45.000Z,2023-11-17T21:34:46.000Z,I-71  Exit 108B / US-40 Broad St,I-71  Exit 116 / Morse Rd / Sinclair Rd,Northbound,66,0,0.328,6.69,39.96134,-82.98248,40.05457015820149,-82.99785894,Yes
5,6,28ee8e5f-68c9-4ffb-a42d-5ab7913fe5f6,2023-11-17T17:14:43.000Z,2023-11-17T17:54:40.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,40,0.195,0.88,5.49,39.13322,-84.53272,39.06119198887707,-84.52695115,Yes
6,116,0828aa61-271a-49e7-87bf-5ea5d451a5a2,2023-11-17T21:40:48.000Z,2023-11-17T23:44:43.000Z,"I-71  Exits 109A,109B,110A / I-670  Exits 4A,4A-B,4B,4C,5,5A-5B / Goodale St",I-71  Exit 116 / Morse Rd / Sinclair Rd,Northbound,124,0.405,0.455,6.31,39.96836149945148,-82.98351133,40.05641021096597,-82.99799001,Yes
7,149,5886b884-b35d-4206-83ca-3ec3f7c18ffc,2023-11-17T19:34:38.000Z,2023-11-17T23:02:48.000Z,I-71  Exit 5 / Dana Ave / Duck Creek Rd,I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,208,0.472,0.88,7.9,39.14314350015114,-84.46795871,39.06119198887707,-84.52695115,Yes
8,6,598d27fd-1901-4132-8ae4-02d308b29341,2023-11-17T17:54:40.000Z,2023-11-17T19:03:47.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,69,0.195,0.735,5.35,39.13322,-84.53272,39.06201103404371,-84.52527295,Yes
9,5,82c8414b-f7fe-49cb-ab84-124b37e07cc1,2023-11-17T20:36:12.000Z,2023-11-17T21:18:42.000Z,"I-71  Exits 184,185 / I-275  Exit 84 / KY-236 Commonwealth Ave","I-75  Exits 2,2B / Winchell Ave / Western Hills Viad",Northbound,43,0.59,0.289,7.56,39.04275290937054,-84.580494,39.11618009,-84.53311007,Yes
