,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
0,2,284b90db-d8e2-4a00-bf2e-45fd8682a077,2022-11-20T13:05:36.000Z,2022-11-20T19:02:50.000Z,I-90,I-90,Eastbound,357,0.16,0.542,21.17,41.76261373,-81.01934379,41.88282,-80.6624,Yes,
1,314,38be7269-3e70-4033-a897-f9226dd24382,2022-11-20T05:39:29.000Z,2022-11-20T06:19:28.000Z,I-90,I-90  Exit 29 / PA-8 Wattsburg Rd / PA-8,Eastbound,40,0.315,0,32.56,41.91287888,-80.58324238,42.08963455,-80.01176808,Yes,
2,2,ef6bb23a-765e-4d9c-841c-f4fb78dd70d3,2022-11-20T05:23:09.000Z,2022-11-20T05:52:39.000Z,I-90,I-90,Eastbound,30,0.157,0.176,43.74,41.77490809,-80.87705459,42.03007273,-80.12599262,Yes,
3,122,c9ca71b1-18e1-4fbe-98dc-f0198f120e24,2022-11-20T05:30:04.000Z,2022-11-20T05:50:40.000Z,I-90,"I-79  Exits 178A,178B / I-90  Exits 22A,22B",Eastbound,21,0.157,0.665,43.33,41.77490809,-80.87705459,42.02663209,-80.13343261,No,1236
4,2,f189a74b-6af4-4fdc-91c4-f403416904fc,2022-11-20T05:52:39.000Z,2022-11-20T07:00:28.000Z,I-90,I-90,Eastbound,68,0.311,0.203,18.9,41.77619121,-80.8739674,41.91630396,-80.57027793,Yes,
5,2,8da21028-6833-4612-80d3-655227fb29a9,2022-11-20T04:58:26.000Z,2022-11-20T05:50:40.000Z,I-90,I-90,Eastbound,52,0.295,0.203,34.06,41.71790226,-81.15066507,41.91630396,-80.57027793,Yes,
6,232,20d76b1d-625d-4783-8dda-10fe960350d2,2022-11-20T14:17:32.000Z,2022-11-20T14:45:38.000Z,I-90,"I-90  Exits 176,177 / 72nd St / Marginal Rd",Westbound,28,0.981,0.288,19.11,41.64808744,-81.30556451,41.54765995,-81.61083011,Yes,
7,2,8703f5a6-f5e8-456d-a044-79ad94a9727a,2022-11-20T08:14:26.000Z,2022-11-20T09:00:23.000Z,I-90  Exit 186 / US-20 Euclid Ave,I-90,Eastbound,46,0,0.41,21.69,41.59724929,-81.48823593,41.72088033,-81.13066559,Yes,
8,31,9149e644-0824-4d2a-808d-fd6948e4c179,2022-11-20T07:30:30.000Z,2022-11-20T08:17:35.000Z,OH-2 / Heisley Rd / OH-44 Heisley Rd,I-90  Exit 181 / Calcutta Ave / 156th St,Westbound,47,0.215,0.196,17.12,41.71882,-81.29511,41.57483896,-81.55597686,Yes,
9,66,6e231024-5224-408a-b91c-359ab9150888,2022-11-20T04:10:11.000Z,2022-11-20T05:05:45.000Z,I-70,I-70  Exit 164 / US-22,Westbound,56,0.03,0.572,22.85,40.03624979,-81.43155066,39.97235024,-81.82645155,Yes,
10,116,bd417e13-ce2b-4868-a9af-8502963ebd68,2022-11-20T11:12:28.000Z,2022-11-20T11:54:28.000Z,I-90  Exit 178 / Eddy Rd,I-90  Exit 167B / OH-10 Lorain Ave / 81st St,Westbound,42,0.392,0.227,9.56,41.54988,-81.60611,41.47402582,-81.7258777,Yes,
11,8,c4ee6425-f696-419a-902f-e2c99b35cc31,2022-11-20T08:44:28.000Z,2022-11-20T09:53:28.000Z,OH-11,OH-11,Northbound,69,0,0,16.63,41.48284273,-80.71202531,41.72294074,-80.70684007,Yes,
12,66,81f58a4d-cad8-48c6-b01b-eff67935481e,2022-11-20T05:06:35.000Z,2022-11-20T05:13:03.000Z,I-70,I-70  Exit 164 / US-22,Westbound,6,1.039,0.572,20.71,40.02568893,-81.46908409,39.97235024,-81.82645155,Yes,
13,2,7a490a04-3dd6-4ad4-9e60-44c73fa450de,2022-11-20T07:36:30.000Z,2022-11-20T08:12:32.000Z,I-90  Exit 186 / US-20 Euclid Ave,I-90,Eastbound,36,0.262,0.635,17.8,41.60081,-81.4897,41.69264231,-81.2018613,Yes,
14,42,b8eca07b-3d4f-4326-ad51-87e5ded54977,2022-11-20T05:06:35.000Z,2022-11-20T05:28:09.000Z,I-70,I-70,Westbound,22,0.288,0.903,21.87,40.03489989,-81.43603066,39.97139745,-81.81302728,Yes,
15,288,215b7562-0c08-45e5-a378-a1ed716ace30,2022-11-20T11:43:31.000Z,2022-11-20T12:46:39.000Z,I-271  Exit 28B / Harvard Rd,I-90  Exit 188 / I-271,Northbound,63,0.148,0.304,9.81,41.45655005,-81.4905,41.58209052,-81.44753003,Yes,
16,317,ccf26ef9-a9dd-4d48-9c66-3a6b9a520b10,2022-11-20T11:23:33.000Z,2022-11-20T11:32:31.000Z,"I-71  Exits 245,246,247A / I-90 Exit 170B / I-490  Exit 1A",I-90 / Waterloo Rd / Jergen's Way,Eastbound,9,0.039,0,9.66,41.47387302,-81.69607576,41.56531,-81.58397,Yes,
17,2,e69fe4f3-6910-4dc3-b310-8e595800be6e,2022-11-20T07:30:30.000Z,2022-11-20T07:35:23.000Z,I-90  Exit 186 / US-20 Euclid Ave,I-90,Eastbound,5,0.262,0.158,18.44,41.60081,-81.4897,41.69951837,-81.19050087,Yes,
18,233,669a968e-116f-4b62-a779-eb5c854727a1,2022-11-20T14:24:31.000Z,2022-11-20T15:52:38.000Z,I-90  Exit 185 / OH-2  Exit 207,OH-2 / Heisley Rd / OH-44 Heisley Rd,Eastbound,88,0.6,0.304,11.21,41.60816,-81.48999,41.70046563,-81.31816053,Yes,
19,254,04d74a68-8521-4aeb-b613-722c1eb512ac,2022-11-20T02:23:48.000Z,2022-11-20T04:55:06.000Z,OH-161 Dublin Granville Rd,OH-161,Eastbound,151,1.019,0.265,15.22,40.08808991,-82.9990085,40.08055465,-82.72147601,Yes,
20,58,43ecb62e-9ff7-4924-a260-bff4807f8664,2022-11-20T17:39:05.000Z,2022-11-20T18:30:56.000Z,I-90,I-90,Westbound,52,0.448,0.616,23.86,41.88620826,-80.65632623,41.75361221,-81.06165987,Yes,
21,58,19afaef3-015e-4a13-bc76-b60df247e570,2022-11-20T17:50:07.000Z,2022-11-20T17:50:56.000Z,I-90,I-90,Westbound,1,0.278,0.449,23.61,41.87646485,-80.67275662,41.74827923,-81.07508136,No,49
22,58,8410f6ff-8993-4cf0-97df-d67d82e297e4,2022-11-20T05:59:24.000Z,2022-11-20T06:15:31.000Z,I-90  Exit 9 / PA-18 Meadville Rd,I-90,Westbound,16,0.259,0.449,19.36,41.96023916,-80.34776136,41.86347506,-80.68697116,Yes,
23,252,feb00cd9-6d04-4fae-aa7c-45d8b038b97f,2022-11-20T07:28:28.000Z,2022-11-20T07:45:27.000Z,I-90  Exit 195 / OH-615 Center St,I-90  Exit 218 / OH-534 / OH-534 Broadway,Eastbound,17,0.149,0,21.02,41.64735601,-81.31341435,41.76901191,-80.95171974,Yes,
24,56,894e709f-65a3-49e4-9da3-76003cda77e7,2022-11-20T08:13:22.000Z,2022-11-20T09:12:31.000Z,"I-90  Exits 184,184B / Lakeland Blvd",I-90  Exit 175 / 55th St / Marginal Rd,Westbound,59,0,0.157,8.24,41.5966,-81.51107,41.53603166,-81.64388835,Yes,
25,2,92f6a641-8faa-4122-8adf-cb8dfefaca5f,2022-11-20T07:02:38.000Z,2022-11-20T07:30:30.000Z,I-90  Exit 195 / OH-615 Center St,I-90,Eastbound,28,0.149,0.481,17.76,41.64735601,-81.31341435,41.76293068,-81.01271677,Yes,
26,329,afbeabea-5f61-47cf-bf74-4a8c6d30cb4d,2022-11-20T12:04:36.000Z,2022-11-20T12:11:33.000Z,I-90  Exit 173B / US-322 Chester Ave / 24th St,I-90  Exit 165A / Lakewood Heights Blvd,Westbound,7,0.15,0.118,7.59,41.50447,-81.67033,41.46865004,-81.78723751,Yes,
27,360,38844d79-fe50-4e6e-a6dd-ee524f4481b2,2022-11-20T13:08:34.000Z,2022-11-20T13:09:30.000Z,I-90  Exit 175 / 55th St / Marginal Rd,"I-90  Exits 184,184B / Lakeland Blvd",Eastbound,1,0.826,0,9.05,41.52838,-81.65516,41.59660722,-81.51067837,No,56
28,58,702dcfc5-dc24-4186-8d8f-db37f6303256,2022-11-20T17:44:49.000Z,2022-11-20T17:52:08.000Z,I-90  Exit 218 / OH-534 / OH-534 Broadway,I-90,Westbound,7,1.486,0.076,17.98,41.76966,-80.94347,41.6676399,-81.25391022,Yes,
29,105,d4b7cff3-deae-45e6-afcb-2d7f50afec8d,2022-11-20T14:45:38.000Z,2022-11-20T15:01:42.000Z,OH-2 / OH-306 / OH-306 Reynolds Rd,I-90  Exit 182A / 185th St / Waterloo Rd,Westbound,16,0.556,0.045,10.06,41.66217,-81.38174,41.58098174,-81.54088657,Yes,
30,2,8f2d05be-99ac-47d6-ac2c-e07a3e945901,2022-11-20T06:47:42.000Z,2022-11-20T07:41:26.000Z,I-90,I-90,Eastbound,54,0.984,0.304,14.79,41.85015566,-80.70230676,41.94309001,-80.45372472,Yes,
31,58,c65551d3-2010-4e55-ad94-a19c5a56a7a1,2022-11-20T14:45:38.000Z,2022-11-20T15:19:38.000Z,I-90,I-90,Westbound,34,0.792,0.928,11.78,41.69043049,-81.20619412,41.62174809,-81.40830555,Yes,
32,137,8b4915d2-8cb3-4d9f-bd2d-8296af94861e,2022-11-20T10:20:21.000Z,2022-11-20T10:54:31.000Z,I-271,I-271 / I-90,Northbound,34,0.593,0.651,11.99,41.45612008,-81.49083,41.60759275,-81.4300145,Yes,
33,391,22af1cdd-f49b-41fb-8c59-3cbe58b8821f,2022-11-20T08:00:27.000Z,2022-11-20T10:22:22.000Z,I-90 / OH-2,I-90  Exit 182B / Lakeland Blvd,Eastbound,142,0.743,0.047,8.24,41.52156,-81.66827,41.58302203,-81.53635794,Yes,
34,58,66d16549-d30e-4d4d-9ff6-76be57eca212,2022-11-20T16:39:44.000Z,2022-11-20T17:43:00.000Z,I-90,I-90,Westbound,63,0.163,1.102,17.45,41.81105831,-80.81359485,41.72530418,-81.11939221,Yes,
35,42,332145fa-88cb-4fb9-ba9f-024d90f361d5,2022-11-20T05:02:48.000Z,2022-11-20T05:22:22.000Z,I-70,I-70,Westbound,20,0.03,0.753,14.39,40.03624979,-81.43155066,39.99219199,-81.67189687,Yes,
36,39,af6d1213-32f5-4bd5-9869-467c7347f6d2,2022-11-20T07:11:25.000Z,2022-11-20T08:17:35.000Z,I-90  Exit 205 / CR-227 Vrooman Rd / Vrooman Rd,I-90  Exit 188 / I-271,Westbound,66,0.066,0.04,15.83,41.70635692,-81.17983179,41.59982265,-81.44253729,Yes,
37,38,b55c2d3e-8b2f-49b4-9e40-172ada30bafb,2022-11-20T10:06:32.000Z,2022-11-20T10:30:20.000Z,"I-90  Exits 176,177 / 72nd St / Marginal Rd",I-90  Exit 171 / 14th St / Fairfield Ave,Westbound,24,0.429,0.204,5.06,41.53777052,-81.64082359,41.48595749,-81.69129421,Yes,
38,58,6b070a73-5955-4119-9417-308f2a075c7d,2022-11-20T06:24:27.000Z,2022-11-20T06:38:23.000Z,I-90,I-90,Westbound,14,0.659,0.15,13.17,41.94331,-80.45900004,41.86595486,-80.68434719,Yes,
39,381,50aed864-798e-4606-bd31-43b8624a047f,2022-11-20T12:22:28.000Z,2022-11-20T12:25:30.000Z,St Clair Ave / 55th St,St Clair Ave / 107th St,Eastbound,3,0.755,0.038,2.38,41.52227,-81.65195,41.53997011,-81.61250908,Yes,
40,275,a7fe5d9b-1bd3-4105-af51-5b73a15a582d,2022-11-20T15:00:37.000Z,2022-11-20T16:04:39.000Z,OH-46 / US-6,US-6 / US-6 Gar Hwy / Ireland Rd,Westbound,64,0.146,0.715,9.62,41.60562447,-80.80356332,41.60570743,-80.98690398,Yes,
41,343,1a67a9f8-98bc-4341-b484-951e7de68575,2022-11-20T07:52:37.000Z,2022-11-20T09:09:29.000Z,I-271,I-90 / I-271,Northbound,77,0.175,0.73,8.87,41.48305538,-81.48637524,41.59550998,-81.44515001,Yes,
42,328,a172aec0-1e3d-4a50-a314-33f0db673d45,2022-11-20T17:20:54.000Z,2022-11-20T17:40:47.000Z,OH-11,OH-11 / Seven Hills Rd,Northbound,20,0,0,8.95,41.72305,-80.70685,41.8406854,-80.76584221,Yes,
43,288,8a705d79-3661-4b16-9782-227d40d168fb,2022-11-20T10:44:27.000Z,2022-11-20T10:46:36.000Z,I-271,I-90  Exit 188 / I-271,Northbound,2,0.35,0.435,7.88,41.48616002,-81.48624,41.58389157,-81.44764016,Yes,
44,58,f80f2786-cdab-4cf3-b821-279ebb62f5e1,2022-11-20T15:24:33.000Z,2022-11-20T15:47:40.000Z,I-90  Exit 205 / CR-227 Vrooman Rd / Vrooman Rd,I-90,Westbound,23,0.272,1.064,13.92,41.7083382,-81.17656152,41.6205252,-81.41019487,Yes,
45,205,63741b60-e12e-44b9-a53a-136f927f14e4,2022-11-20T10:39:34.000Z,2022-11-20T14:35:35.000Z,I-90  Exit 188 / I-271,I-271,Southbound,236,0,0.071,10.02,41.58666,-81.44859,41.4581088,-81.49131,Yes,
46,203,d95c6a39-233e-4486-a0be-f68ff02322fa,2022-11-20T11:07:29.000Z,2022-11-20T11:22:27.000Z,I-90  Exit 173B / US-322 Chester Ave / 24th St,I-90  Exit 166 / 117th St,Westbound,15,0,0.259,6.46,41.50658,-81.67103,41.4673,-81.76385,Yes,
47,245,6b457cf0-00b9-4e68-ab90-f9e083acba4d,2022-11-20T09:23:23.000Z,2022-11-20T09:52:24.000Z,I-90,I-90  Exit 241 / OH-7,Westbound,29,0.447,0,13.26,41.97056905,-80.32117342,41.91884834,-80.56199924,Yes,
