BottleneckSummaryIndex,Id,StartDateUTC,EndDateUTC,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,StartDateET,EndDateET,StartHourET,StartMinuteET,EndHourET,EndMinuteET,TotalImpactFactor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,49525e86-3734-4302-b8a4-164e9eda1c10,2024-02-01 13:04:21,2024-02-01 13:07:28,I-275  Exit 54 / Wards Corner Rd,"I-71  Exits 17,17A,17B / I-275  Exits 49,49A,49B",Northbound,3,0.0,0.0,4.75,39.22342,-84.27573,39.26473993982356,-84.34244391575298,2024-02-01 08:04:21-05:00,2024-02-01 08:07:28-05:00,8,4,8,7,14.25,0,0.0,0.0,0,0,0.0,0.0,0.0,14.25,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
1,06d5593b-cb03-445c-b034-9b1fa9607680,2024-01-19 13:46:00,2024-01-19 14:30:48,I-275,"I-71  Exits 17,17A,17B / I-275  Exits 49,49A,49B",Northbound,45,0.0,0.0,6.05,39.2074634790692,-84.2631886368097,39.26473993982356,-84.34244391575298,2024-01-19 08:46:00-05:00,2024-01-19 09:30:48-05:00,8,46,9,30,272.25,0,0.0,0.0,0,0,0.0,0.0,0.0,84.7,181.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,66d50e85-844a-4c3e-80cd-c99224fc11ab,2024-01-25 12:25:32,2024-01-25 12:50:36,I-275  Exit 57 / OH-28,I-275  Exit 47 / Reed Hartman Hwy,Northbound,25,0.043,0.0,8.03,39.18816820572917,-84.26280222597065,39.27149,-84.35152,2024-01-25 07:25:32-05:00,2024-01-25 07:50:36-05:00,7,25,7,50,200.74999999999997,0,0.0,0.0,0,0,0.0,0.0,200.74999999999997,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,b31a6137-f72d-4645-91d2-dea342afc178,2024-01-11 12:51:43,2024-01-11 13:03:53,I-275  Exit 52 / Loveland Madeira Rd,I-275  Exit 47 / Reed Hartman Hwy,Northbound,12,0.261,0.169,2.73,39.24849236781997,-84.30632282420683,39.26881162999608,-84.34790411744697,2024-01-11 07:51:43-05:00,2024-01-11 08:03:53-05:00,7,51,8,3,32.76,0,0.0,0.0,0,0,0.0,0.0,24.57,8.19,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,8ca52b17-79a9-4782-bf42-851144842381,2024-01-24 12:45:03,2024-01-24 12:46:04,I-275  Exit 57 / OH-28,I-275  Exit 47 / Reed Hartman Hwy,Northbound,1,0.262,0.137,8.32,39.18538276150252,-84.26372779669221,39.2728609419545,-84.35335915169759,2024-01-24 07:45:03-05:00,2024-01-24 07:46:04-05:00,7,45,7,46,8.32,0,0.0,0.0,0,0,0.0,0.0,8.32,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,2a42804f-7f43-4060-8ffe-0aea9d873bcb,2024-01-09 12:27:59,2024-01-09 13:19:59,I-275,I-275  Exit 47 / Reed Hartman Hwy,Northbound,52,0.516,0.0,7.32,39.1985605838349,-84.2626427905782,39.27149,-84.35152,2024-01-09 07:27:59-05:00,2024-01-09 08:19:59-05:00,7,27,8,19,380.64,0,0.0,0.0,0,0,0.0,0.0,241.55999999999997,139.07999999999998,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,a3d24673-893d-4b5d-9e9b-911977a4f2b5,2024-01-10 12:57:07,2024-01-10 13:05:53,I-275  Exit 57 / OH-28,I-275  Exit 47 / Reed Hartman Hwy,Northbound,9,0.043,0.425,8.45,39.18816820572917,-84.26280222597065,39.275565905253664,-84.3570877499914,2024-01-10 07:57:07-05:00,2024-01-10 08:05:53-05:00,7,57,8,5,76.05,0,0.0,0.0,0,0,0.0,0.0,25.349999999999998,42.25,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,c0d597b9-3d8f-4bf3-8331-ab14f2e3f16a,2024-01-23 12:33:02,2024-01-23 12:47:01,I-275,I-275  Exit 47 / Reed Hartman Hwy,Northbound,14,0.0,0.0,6.7,39.2074634790692,-84.2631886368097,39.27149,-84.35152,2024-01-23 07:33:02-05:00,2024-01-23 07:47:01-05:00,7,33,7,47,93.8,0,0.0,0.0,0,0,0.0,0.0,93.8,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,4bf34223-691a-464c-b722-691896594cc7,2024-02-29 12:56:33,2024-02-29 13:07:19,I-275,I-275  Exit 47 / Reed Hartman Hwy,Northbound,11,1.116,0.0,3.74,39.239672244435376,-84.29792224443538,39.27149,-84.35152,2024-02-29 07:56:33-05:00,2024-02-29 08:07:19-05:00,7,56,8,7,41.14,0,0.0,0.0,0,0,0.0,0.0,14.96,26.18,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,24982c08-9b64-4f34-b9c8-14154690f16c,2024-01-24 12:32:44,2024-01-24 12:46:04,I-275  Exit 57 / OH-28,I-275  Exit 47 / Reed Hartman Hwy,Northbound,13,0.099,0.394,7.72,39.19235043730385,-84.26247144939542,39.27115992283124,-84.35102566762828,2024-01-24 07:32:44-05:00,2024-01-24 07:46:04-05:00,7,32,7,46,100.36,0,0.0,0.0,0,0,0.0,0.0,100.36,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
