BottleneckSummaryIndex,Id,StartDateUTC,EndDateUTC,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,StartDateET,EndDateET,StartHourET,StartMinuteET,EndHourET,EndMinuteET,TotalImpactFactor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,2826d1a4-1c5e-4a90-b650-2654ab7e9448,2024-04-08 17:38:26,2024-04-08 17:39:32,I-275  Exit 47 / Reed Hartman Hwy,I-275  Exit 44 / Mosteller Rd,Northbound,1,0.079,0.616,1.33,39.28941965607714,-84.37704110580057,39.2879057182514,-84.40085673774456,2024-04-08 13:38:26-04:00,2024-04-08 13:39:32-04:00,13,38,13,39,1.33,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,af1e9a70-abd8-43e4-93ed-e521c9510b0e,2024-04-30 12:14:09,2024-04-30 13:37:01,"I-275  Exits 59A,59B / Milford Pkwy",I-275  Exit 44 / Mosteller Rd,Northbound,83,0.149,0.282,13.22,39.16685122296624,-84.26758006436664,39.28572855658463,-84.40988482578449,2024-04-30 08:14:09-04:00,2024-04-30 09:37:01-04:00,8,14,9,37,1097.26,0,0.0,0.0,0,0,0.0,0.0,0.0,608.12,489.14,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,b83f1a44-95ca-4cec-ab8a-e872d358a70d,2024-04-30 12:20:11,2024-04-30 12:25:11,I-275  Exit 47 / Reed Hartman Hwy,I-275  Exit 44 / Mosteller Rd,Northbound,5,0.0,0.282,1.89,39.28896,-84.37595,39.28572855658463,-84.40988482578449,2024-04-30 08:20:11-04:00,2024-04-30 08:25:11-04:00,8,20,8,25,9.45,0,0.0,0.0,0,0,0.0,0.0,0.0,9.45,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,07de421a-01a7-4bba-861e-8407a23aa87e,2024-03-05 21:42:24,2024-03-05 21:45:30,I-275,"I-71  Exits 17,17A,17B / I-275  Exits 49,49A,49B",Northbound,3,0.278,0.239,1.46,39.25316324675046,-84.32565985209322,39.26678195865044,-84.34520371210907,2024-03-05 16:42:24-05:00,2024-03-05 16:45:30-05:00,16,42,16,45,4.38,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.38,0.0,0.0,0.0,0.0,0,0,0
2,bd429bef-5e59-40fc-b1a3-cd5b3e336c88,2024-03-12 11:43:28,2024-03-12 11:47:32,I-275,"I-71  Exits 17,17A,17B / I-275  Exits 49,49A,49B",Northbound,4,0.81,0.127,1.9,39.25181516261088,-84.31481991000229,39.26597392804304,-84.34411413549991,2024-03-12 07:43:28-04:00,2024-03-12 07:47:32-04:00,7,43,7,47,7.6,0,0.0,0.0,0,0,0.0,0.0,7.6,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,6be4fa61-374c-4638-a463-47157814d417,2024-03-05 21:59:25,2024-03-05 22:13:29,I-275,"I-71  Exits 17,17A,17B / I-275  Exits 49,49A,49B",Northbound,14,0.278,0.239,1.46,39.25316324675046,-84.32565985209322,39.26678195865044,-84.34520371210907,2024-03-05 16:59:25-05:00,2024-03-05 17:13:29-05:00,16,59,17,13,20.439999999999998,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.4599999999999997,18.979999999999997,0.0,0.0,0.0,0,0,0
3,c4903921-9573-4543-b3ad-f9e543e36d5d,2024-03-12 12:25:31,2024-03-12 12:33:30,I-275,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,8,1.079,1.088,3.48,39.22101405694846,-84.27288945481524,39.25225235788488,-84.31896379788493,2024-03-12 08:25:31-04:00,2024-03-12 08:33:30-04:00,8,25,8,33,27.84,0,0.0,0.0,0,0,0.0,0.0,0.0,27.84,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,564291f6-6836-4a87-8441-aa58f5bd50df,2024-03-12 11:34:29,2024-03-12 12:13:34,I-275,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,39,0.516,0.522,5.69,39.1985605838349,-84.2626427905782,39.25487302614496,-84.3291707623225,2024-03-12 07:34:29-04:00,2024-03-12 08:13:34-04:00,7,34,8,13,221.91000000000003,0,0.0,0.0,0,0,0.0,0.0,147.94,73.97,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,e4fa650f-667d-4b44-af16-ed7b3c6a53f3,2024-03-13 12:39:29,2024-03-13 13:14:26,I-275,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,35,0.362,0.139,5.46,39.19633000028538,-84.26258,39.25274046242908,-84.32335891825763,2024-03-13 08:39:29-04:00,2024-03-13 09:14:26-04:00,8,39,9,14,191.1,0,0.0,0.0,0,0,0.0,0.0,0.0,114.66,76.44,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,408a1421-c814-47a1-b0de-5e8e951db8a7,2024-03-20 12:05:32,2024-03-20 12:12:30,I-275,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,7,0.308,0.95,4.11,39.21157247564188,-84.26498173292663,39.25193978173259,-84.31601610958977,2024-03-20 08:05:32-04:00,2024-03-20 08:12:30-04:00,8,5,8,12,28.770000000000003,0,0.0,0.0,0,0,0.0,0.0,0.0,28.770000000000003,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,91a8b7b5-03cd-4ed0-a156-fea5ce6a47a6,2024-03-19 11:36:27,2024-03-19 12:12:39,I-275,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,36,0.0,0.95,4.41,39.2074634790692,-84.2631886368097,39.25193978173259,-84.31601610958977,2024-03-19 07:36:27-04:00,2024-03-19 08:12:39-04:00,7,36,8,12,158.76,0,0.0,0.0,0,0,0.0,0.0,105.83999999999999,52.919999999999995,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,043207cc-042d-4dc2-ac4a-b14da1d554ed,2024-03-06 11:48:27,2024-03-06 12:37:32,I-275  Exit 57 / OH-28,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,49,0.114,0.867,6.68,39.18933032036001,-84.2625799615568,39.25846508820101,-84.3339870265633,2024-03-06 06:48:27-05:00,2024-03-06 07:37:32-05:00,6,48,7,37,327.32,0,0.0,0.0,0,0,0.0,80.16,247.15999999999997,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,20b5272c-a8c6-4842-81cd-93336fd8443f,2024-04-02 11:41:31,2024-04-02 11:44:31,I-275  Exit 54 / Wards Corner Rd,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,3,0.0,0.278,3.53,39.22342,-84.27573,39.25316324675046,-84.32565985209322,2024-04-02 07:41:31-04:00,2024-04-02 07:44:31-04:00,7,41,7,44,10.59,0,0.0,0.0,0,0,0.0,0.0,10.59,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
